date,album_id,storefront,fetched_at
2026-05-24,1484123230,de,2026-05-24T08:43:05Z
2026-05-25,1714020702,de,2026-05-25T10:37:00Z
2026-05-26,1694356522,de,2026-05-26T03:27:16Z
2026-05-27,1536058355,de,2026-05-27T03:27:45Z
2026-05-28,989376625,de,2026-05-28T03:28:57Z
2026-05-29,1331767921,de,2026-05-29T03:27:17Z
2026-05-30,1556921230,de,2026-05-30T03:26:40Z
2026-05-31,594824027,de,2026-05-31T03:27:18Z
2026-06-01,735301547,de,2026-06-01T03:27:50Z
2026-06-02,356434243,de,2026-06-02T03:28:06Z
2026-06-03,373314575,de,2026-06-03T03:28:09Z
2026-06-04,1682269090,de,2026-06-04T03:27:59Z
2026-06-05,499430770,de,2026-06-05T03:27:18Z
2026-06-06,1674354127,de,2026-06-06T03:26:56Z
2026-06-07,469372981,de,2026-06-07T03:27:31Z
2026-06-08,1015648114,de,2026-06-08T03:27:45Z
2026-06-09,1823118617,de,2026-06-09T06:45:50Z
2026-06-10,281240657,de,2026-06-10T03:27:27Z
2026-06-11,1603185428,de,2026-06-11T03:27:52Z
2026-06-12,1440764608,de,2026-06-12T03:27:30Z
